,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,contraire
nom,pistolet,arc,lance-pierre,poing,fusil,mitraillette,canon,pétoire,flingue,revolver,fleur
variantes,lui
,il
,le
,l'
