,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,contraire
nom,cahier,carnet,feuille,timbre-poste,livre,volume,grimoire,registre,calepin,fascicule,Ipad
variantes,lui
,il
,le
,l'
