,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,contraire
Nom,vélo,tricycle,monocycle,trottinette,tandem,voiture à pédales,char à voile,bicyclette,bécane,vélocipède,quad
variantes,,,,,,,,,,,
