,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,contraire
nom,voiture,voiturette,moto,vélo,camionnette,camion,char d'assaut,automobile,berline,véhicule,piéton
variantes,elle
,la
,cette
,ma
